agegroup,A5,A6,A7,A8,A9,A11B,A12,A14,E1,D7,D4,D5,D6,trueage,Cluster
7,2,7,3,17,3,1,0,0,0,0,0,0,0,49.23203285,0
7,1,4,1,0,0,1,0,0,0,0,0,0,1,48.98288843,1
7,2,6,3,17,4,1,0,0,0,0,0,1,0,49.3798768,0
7,2,6,3,15,3,1,0,0,0,0,0,0,0,49.32238193,0
7,2,7,3,15,3,1,0,0,0,0,0,0,0,49.30047912,0
7,2,7,3,19,3,1,0,0,0,0,0,0,0,49.18822724,0
7,1,5,1,0,0,1,0,0,0,0,0,0,0,49.33880903,1
7,1,4,1,0,0,2,0,0,0,1,1,1,1,48.95003422,1
7,1,6,1,0,0,1,0,0,0,1,0,1,0,49.07871321,1
7,2,6,3,12,4,1,0,0,0,0,0,0,0,49.22655715,0
7,2,5,4,6,3,2,0,0,0,0,1,1,0,48.5229295,3
7,2,7,3,17,5,1,0,0,0,0,0,0,0,48.88706366,0
7,1,4,3,6,2,1,0,0,0,0,0,0,0,48.5119781,1
7,1,5,3,1,3,1,0,0,0,0,0,1,0,49.44558522,2
7,2,7,3,16,4,2,0,0,1,0,0,1,0,48.78302533,3
7,1,5,1,0,0,2,0,0,0,0,0,0,0,49.0294319,1
7,2,5,3,15,2,1,0,0,0,0,0,0,0,49.37166324,2
7,2,7,3,17,4,1,0,0,0,0,0,0,0,49.32238193,0
7,1,4,2,0,0,1,0,0,0,0,0,0,0,49.14989733,1
7,1,4,1,0,0,2,0,0,0,0,0,1,0,49.3853525,1
7,2,5,3,2,3,1,0,0,0,0,0,0,0,48.77481177,0
7,2,7,3,15,3,1,0,0,0,0,0,0,0,49.14442163,0
7,2,6,3,17,4,1,0,0,0,0,0,1,0,49.08692676,0
7,1,4,4,17,2,2,0,0,0,0,0,0,0,49.48665298,1
7,2,5,3,19,3,1,0,0,1,1,0,0,0,48.75290897,0
7,2,7,3,19,4,1,0,0,0,0,0,1,0,49.16906229,3
7,2,4,1,0,0,1,0,0,0,0,0,0,0,49.22108145,1
7,2,5,3,15,3,1,0,0,0,0,0,0,0,48.55578371,0
7,2,6,3,19,4,1,0,0,0,0,0,1,0,49.30047912,0
7,2,6,3,19,3,1,0,0,0,0,0,0,0,49.4072553,0
7,2,6,3,17,3,1,0,0,0,0,0,0,0,49.27036277,0
7,2,5,3,3,2,1,0,0,0,0,0,0,0,48.82409309,0
7,2,4,3,15,3,1,0,0,0,0,0,1,0,48.96098563,0
7,2,5,3,18,3,1,0,0,0,0,0,1,0,48.95277207,0
7,2,7,3,15,3,1,0,0,0,0,0,0,0,49.13894593,0
7,2,7,3,15,4,1,0,0,0,0,0,0,0,49.45927447,0
7,2,5,3,15,7,1,0,0,0,0,0,0,0,48.84325804,0
7,2,7,3,17,3,1,0,0,0,0,0,0,0,48.86516085,0
7,2,7,3,15,4,1,0,0,0,0,0,0,0,49.45927447,0
7,2,4,3,17,3,1,0,0,0,0,0,0,0,48.67624914,0
7,1,4,3,8,3,1,0,0,0,0,0,0,0,49.28405202,0
7,1,4,3,17,2,1,0,0,0,1,1,0,0,49.06228611,0
7,2,6,3,17,3,1,0,0,0,0,0,0,0,48.91991786,0
7,1,4,3,8,3,1,0,0,0,0,1,1,0,49.44010951,2
7,1,6,3,1,3,1,0,0,0,0,0,0,0,49.48939083,0
7,2,5,3,19,3,1,0,0,0,0,0,0,0,48.95277207,0
7,2,7,3,2,3,1,0,0,0,0,0,0,0,49.33333333,0
7,1,4,1,0,0,2,0,0,0,0,0,1,1,48.76659822,1
7,2,6,3,15,2,1,0,0,0,0,0,0,0,48.82683094,0
7,2,4,3,17,3,1,0,0,1,0,0,1,0,48.79123888,0
7,2,5,3,15,3,1,0,0,0,0,0,0,0,49.05407255,0
7,1,4,1,0,0,3,0,0,1,0,0,1,0,48.65160849,1
7,1,5,3,15,3,1,0,0,0,0,1,1,0,48.88158795,2
7,1,3,3,1,2,3,0,0,0,0,0,0,0,48.8733744,2
7,1,5,3,1,3,1,0,0,0,0,0,1,0,48.64887064,2
7,2,5,4,17,3,1,0,0,0,0,0,1,0,48.61601643,0
7,2,5,3,17,2,1,0,0,0,0,0,0,0,48.7008898,0
7,2,5,1,0,0,1,0,0,0,0,0,0,0,48.75838467,1
7,1,4,1,0,0,2,0,0,0,0,0,0,0,49.045859,1
7,1,4,3,17,2,1,0,0,0,0,0,0,0,49.34428474,0
7,2,5,2,0,0,1,0,0,0,0,0,0,0,48.93908282,1
7,1,5,1,0,0,1,0,0,0,1,0,0,0,48.66803559,1
7,1,7,3,19,3,1,0,0,0,0,0,1,0,49.03764545,2
7,2,6,3,19,3,2,0,0,0,0,0,0,0,48.99931554,0
7,2,5,3,15,3,2,0,0,0,0,0,0,0,49.00205339,0
7,1,5,3,15,2,2,0,0,0,0,0,0,0,49.00205339,2
7,1,4,1,0,0,1,0,0,0,1,0,0,0,49.07049966,1
7,2,6,3,15,3,1,0,0,0,0,0,0,0,48.61054073,0
7,2,4,3,8,3,1,0,0,0,0,0,0,0,48.99657769,0
7,1,5,1,0,0,1,0,0,0,0,1,0,0,49.16906229,1
7,2,7,3,1,3,1,0,0,0,0,0,0,0,48.85420945,0
7,2,6,3,15,3,1,0,0,1,0,0,0,0,48.73100616,0
7,2,6,2,0,0,1,0,0,0,0,1,1,0,48.75564682,0
7,2,6,3,15,3,1,0,0,0,0,1,1,0,49.49212868,0
7,2,6,3,19,2,1,0,0,0,0,0,0,0,48.75564682,0
7,1,4,1,0,0,1,0,0,0,0,0,1,0,49.11430527,1
7,1,3,1,0,0,2,0,0,0,0,0,0,0,49.40999316,1
7,2,7,3,17,4,1,0,0,0,0,0,0,0,48.52019165,0
7,2,6,3,17,3,1,0,0,0,0,0,0,0,48.54483231,0
7,2,7,3,17,4,1,0,0,0,0,0,0,0,48.80766598,0
7,2,6,3,17,4,1,0,0,0,0,0,0,0,48.95277207,0
7,2,6,3,17,4,1,0,0,0,0,0,0,0,49.08692676,0
7,2,7,3,17,5,1,0,0,0,0,0,0,0,48.79397673,0
7,2,7,3,17,4,1,0,0,0,0,0,0,0,49.13894593,0
7,2,7,3,17,4,1,0,0,0,0,0,0,0,48.67077344,0
7,1,4,1,0,0,1,0,0,0,0,0,1,1,49.26214921,1
7,2,7,3,17,4,1,0,0,0,0,0,0,0,48.5229295,0
7,1,6,3,17,3,1,0,0,1,0,0,0,0,48.63244353,0
7,1,6,3,17,3,1,0,0,0,0,0,0,0,49.44558522,0
7,2,7,3,17,4,1,0,0,0,0,0,0,0,49.3853525,0
7,2,6,3,17,4,1,0,0,0,0,0,1,0,49.36344969,0
7,2,5,3,6,3,2,0,0,0,0,0,1,0,49.45379877,3
7,2,6,3,17,4,2,0,0,0,0,0,0,0,48.78576318,0
7,2,6,3,17,4,1,0,0,0,0,0,0,0,49.11704312,0
7,1,3,2,0,0,2,0,0,0,1,1,1,1,49.40999316,1
7,1,4,3,19,3,1,0,0,0,0,0,0,0,49.48939083,0
7,1,5,3,19,3,1,0,0,0,0,0,0,0,49.48391513,0
7,2,6,3,17,4,1,0,0,0,0,0,0,0,48.862423,0
7,2,6,3,17,4,1,0,0,0,0,0,1,0,49.0349076,0
7,1,4,1,0,0,2,0,0,0,0,0,0,0,49.33880903,1
7,2,6,3,15,3,1,0,0,0,0,0,0,0,48.84325804,0
7,2,5,3,15,3,1,0,0,0,0,0,0,0,48.72553046,0
7,2,4,3,17,3,1,0,0,0,0,0,0,0,48.69815195,0
7,2,4,3,17,3,1,0,0,0,0,0,0,0,48.95277207,0
7,2,6,3,15,4,1,0,0,0,0,0,0,0,49.04859685,0
7,2,5,3,15,4,1,0,0,0,0,0,0,0,49.2347707,0
7,1,4,1,0,0,1,0,0,0,0,0,0,0,49.32785763,1
7,1,3,1,0,0,2,0,0,0,0,0,0,0,49.47843943,1
7,2,4,3,12,3,2,0,0,0,0,0,0,0,48.75838467,0
7,1,3,1,0,0,3,0,0,1,0,1,0,0,48.65982204,1
7,2,4,3,8,3,1,0,0,0,0,0,0,0,49.28405202,0
7,2,7,3,15,3,1,0,0,0,0,0,0,0,49.29774127,0
7,1,4,3,1,5,2,0,0,0,1,1,1,1,48.98288843,2
7,2,6,3,19,3,1,0,0,0,0,0,0,0,48.73648186,0
7,2,7,3,17,3,1,0,0,1,0,0,0,0,49.15263518,0
7,2,4,2,0,0,1,0,0,0,0,0,0,0,49.30595483,1
7,2,5,3,17,3,1,0,0,0,0,0,0,0,49.14715948,0
7,1,4,3,1,1,2,0,0,1,1,0,0,0,49.32238193,1
7,2,6,3,17,3,1,0,0,1,1,0,1,1,49.32785763,0
